,id,Name,position,team,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date,season,injury,days_of_injury,start_date,end_date
12,131789,Rhys Williams,Centre-Back,fc-liverpool,21/22,Hamstring Injury,4,"Nov 5, 2021",-,21/22,Muscle Injury,24,"Aug 29, 2021","Sep 22, 2021",20/21,Knee Injury,27,"Mar 5, 2021","Apr 1, 2021",18/19,Muscle Injury,18,"May 3, 2019","May 21, 2019",18/19,Groin Strain,5,"Apr 25, 2019","Apr 30, 2019",18/19,Ankle problems,6,"Feb 24, 2019","Mar 2, 2019",18/19,Eye Injury,1,"Sep 16, 2018","Sep 17, 2018",16/17,Muscular problems,6,"May 12, 2017","May 18, 2017",16/17,Groin Strain,7,"Sep 11, 2016","Sep 18, 2016",15/16,Hamstring Injury,18,"Mar 17, 2016","Apr 4, 2016",15/16,Back Injury,25,"Sep 24, 2015","Oct 19, 2015",13/14,Ruptured ankle aigament,10,"Sep 9, 2013","Sep 19, 2013",12-11,Torn lateral collateral ligament,101,"Apr 16, 2012","Jul 26, 2012",,,,,,,,,,
13,256178,Ben Davies,Centre-Back,fc-liverpool,20/21,Patella problems,231,"Nov 11, 2020","Jun 30, 2021",19/20,Knock,1,"Mar 1, 2020","Mar 2, 2020",18/19,Ankle Surgery,124,"Dec 5, 2018","Apr 8, 2019",18/19,Knock,6,"Aug 5, 2018","Aug 11, 2018",17/18,Ankle Surgery,54,"May 8, 2018","Jul 1, 2018",17/18,Ankle Injury,28,"Mar 23, 2018","Apr 20, 2018",16/17,Achilles tendon problems,128,"Jul 15, 2016","Nov 20, 2016",15/16,Cruciate Ligament Injury,234,"Oct 12, 2015","Jun 2, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,494284,Sepp van den Berg,Centre-Back,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,302215,Billy Koumetio,Centre-Back,fc-liverpool,20/21,Ankle Injury,60,"Dec 20, 2020","Feb 18, 2021",20/21,Ligament Injury,5,"Dec 10, 2020","Dec 15, 2020",20/21,Hamstring Injury,12,"Nov 23, 2020","Dec 5, 2020",20/21,Corona virus,20,"Oct 14, 2020","Nov 3, 2020",19/20,Ill,2,"Mar 10, 2020","Mar 12, 2020",19/20,Groin Injury,5,"Mar 1, 2020","Mar 6, 2020",19/20,Angina,6,"Feb 26, 2020","Mar 3, 2020",19/20,groin strain,23,"Jan 2, 2020","Jan 25, 2020",19/20,Ill,2,"Nov 26, 2019","Nov 28, 2019",19/20,Torn muscle bundle,6,"Sep 22, 2019","Sep 28, 2019",19/20,Torn muscle bundle,45,"Aug 10, 2019","Sep 24, 2019",18/19,Groin Injury,51,"May 1, 2019","Jun 21, 2019",18/19,Knock,18,"Mar 12, 2019","Mar 30, 2019",18/19,Muscular problems,20,"Oct 16, 2018","Nov 5, 2018",17/18,Knock,48,"May 14, 2018","Jul 1, 2018"
16,565420,Andrew Robertson,Left-Back,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,344015,Konstantinos Tsimikas,Left-Back,fc-liverpool,19/20,Fractured Foot,146,"Oct 7, 2019","Mar 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,503679,Trent Alexander-Arnold,Right-Back,fc-liverpool,21/22,Knock,6,"Sep 11, 2021","Sep 17, 2021",20/21,Groin Injury,9,"Nov 15, 2020","Nov 24, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,71271,Neco Williams,Right-Back,fc-liverpool,19/20,Ankle Injury,1,"Aug 15, 2019","Aug 16, 2019",15/16,Calf Injury,10,"May 6, 2016","May 16, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,61651,Fabinho,Defensive Midfield,fc-liverpool,20/21,Groin Surgery,82,"Feb 26, 2021","May 19, 2021",20/21,Knock,11,"Nov 16, 2020","Nov 27, 2020",20/21,Hip problems,1,"Oct 2, 2020","Oct 3, 2020",19/20,Knee Injury,52,"Jul 9, 2020","Aug 30, 2020",19/20,Hamstring Injury,20,"Feb 19, 2020","Mar 10, 2020",19/20,Calf Injury,0,"Dec 28, 2019","Dec 28, 2019",18/19,Knee Injury,2,"May 9, 2019","May 11, 2019",18/19,Ankle Injury,8,"Mar 14, 2019","Mar 22, 2019",18/19,Ligament Injury,7,"Feb 1, 2019","Feb 8, 2019",18/19,Cals Sclerosis,7,"Jan 4, 2019","Jan 11, 2019",18/19,Hip Injury,18,"Oct 21, 2018","Nov 8, 2018",17/18,Muscle Injury,34,"Dec 23, 2017","Jan 26, 2018",17/18,Thigh Problems,11,"Nov 2, 2017","Nov 13, 2017",17/18,Ill,4,"Aug 3, 2017","Aug 7, 2017",16/17,Foot Injury,129,"Feb 27, 2017","Jul 6, 2017"
21,3333,Marko Grujic,Defensive Midfield,fc-liverpool,20/21,Thigh Muscle Strain,2,"Feb 1, 2021","Feb 3, 2021",20/21,Hamstring Injury,28,"Nov 28, 2020","Dec 26, 2020",20/21,Calf Injury,6,"Sep 21, 2020","Sep 27, 2020",20/21,Thigh Muscle Strain,12,"Jul 9, 2020","Jul 21, 2020",20/21,Knock,4,"Jul 3, 2020","Jul 7, 2020",20/21,Hamstring Injury,9,"Jun 22, 2020","Jul 1, 2020",19/20,Hamstring Injury,12,"Feb 19, 2020","Mar 2, 2020",19/20,Hip Injury,39,"Jan 6, 2020","Feb 14, 2020",19/20,Back Injury,1,"Sep 26, 2019","Sep 27, 2019",19/20,Knock,12,"Mar 4, 2019","Mar 16, 2019",18/19,Hamstring Injury,11,"Dec 22, 2018","Jan 2, 2019",18/19,Knock,7,"Dec 13, 2018","Dec 20, 2018",18/19,Hamstring Injury,12,"Oct 7, 2018","Oct 19, 2018",18/19,Head Injury,6,"Aug 5, 2018","Aug 11, 2018",16/17,Foot Injury,12,"Aug 7, 2016","Aug 19, 2016"
22,540630,Leighton Clarkson,Defensive Midfield,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,470606,Naby Ke??ta,Central Midfield,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,371814,Georginio Wijnaldum,Central Midfield,fc-liverpool,19/20,Knock,4,"Jun 19, 2020","Jun 23, 2020",19/20,Angina,7,"Dec 18, 2019","Dec 25, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,338070,Thiago,Central Midfield,fc-liverpool,20/21,Knee Injury,41,"Dec 10, 2020","Jan 20, 2021",20/21,Thigh Problems,39,"Sep 25, 2020","Nov 3, 2020",20/21,Quarantine,15,"Sep 4, 2020","Sep 19, 2020",20/21,Fever,2,"Sep 2, 2020","Sep 4, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,225693,Curtis Jones,Central Midfield,fc-liverpool,20/21,Muscle Injury,18,"Feb 11, 2021","Mar 1, 2021",20/21,Muscular problems,11,"Jan 26, 2021","Feb 6, 2021",20/21,Hamstring Injury,25,"Oct 27, 2020","Nov 21, 2020",19/20,Ankle Injury,51,"Nov 28, 2019","Jan 18, 2020",18/19,Head Injury,11,"Apr 22, 2019","May 3, 2019",18/19,Hamstring Injury,9,"Jan 20, 2019","Jan 29, 2019",18/19,Ill,2,"Aug 9, 2018","Aug 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,565822,Jordan Henderson,Central Midfield,fc-liverpool,21/22,Fracture-dislocation of the ankle,57,"Sep 13, 2021",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,222813,Alex Oxlade-Chamberlain,Central Midfield,fc-liverpool,21/22,Muscle Injury,39,"Aug 1, 2021","Sep 9, 2021",19/20,Quarantine,14,"Mar 17, 2020","Mar 31, 2020",18/19,Ankle Injury,6,"Apr 9, 2019","Apr 15, 2019",18/19,Ankle Injury,33,"Dec 12, 2018","Jan 14, 2019",18/19,Torn Ankle Ligament,49,"Sep 23, 2018","Nov 11, 2018",16/17,Hamstring Injury,88,"Dec 1, 2016","Feb 27, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,706815,James Milner,Central Midfield,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,60444,Jake Cain,Central Midfield,fc-liverpool,21/22,Calf Injury,52,"Sep 18, 2021",-,20/21,Knee Injury,72,"Oct 17, 2020","Dec 28, 2020",20/21,Corona virus,23,"Sep 23, 2020","Oct 16, 2020",19/20,Groin Surgery,23,"Jun 11, 2020","Jul 4, 2020",19/20,groin strain,26,"May 10, 2020","Jun 5, 2020",19/20,Cervical spine injury,7,"Aug 23, 2019","Aug 30, 2019",18/19,Muscular problems,4,"Jan 30, 2019","Feb 3, 2019",18/19,Torn ankle ligament,28,"Oct 31, 2018","Nov 28, 2018",18/19,Toe Injury,2,"Sep 18, 2018","Sep 20, 2018",17/18,Strain,4,"Mar 15, 2018","Mar 19, 2018",17/18,Rest ,2,"Feb 19, 2018","Feb 21, 2018",17/18,Muscle partial avulsion,81,"Nov 23, 2017","Feb 12, 2018",17/18,Bruised Knee,4,"Nov 16, 2017","Nov 20, 2017",17/18,Torn Collateral Ligament,3,"Oct 9, 2017","Oct 12, 2017",17/18,Pubis bone contusion,4,"Sep 21, 2017","Sep 25, 2017"
31,49499,Ben Woodburn,Attacking Midfield,fc-liverpool,19/20,Knock,5,"Dec 15, 2019","Dec 20, 2019",18/19,Back Injury,2,"Apr 11, 2019","Apr 13, 2019",18/19,Knee Injury,7,"Feb 1, 2019","Feb 8, 2019",18/19,Knock,16,"Jan 13, 2019","Jan 29, 2019",18/19,Knock,5,"Sep 23, 2018","Sep 28, 2018",17/18,Ill,14,"Feb 23, 2018","Mar 9, 2018",17/18,Knee Injury,7,"Oct 20, 2017","Oct 27, 2017",16/17,Hamstring Injury,10,"Oct 11, 2016","Oct 21, 2016",16/17,Knee Injury,6,"Sep 17, 2016","Sep 23, 2016",14/15,Knee Injury,10,"Oct 13, 2014","Oct 23, 2014",13/14,Back trouble,42,"Feb 13, 2014","Mar 27, 2014",13/14,Back Injury,143,"Sep 19, 2013","Feb 9, 2014",13/14,Ankle Injury,10,"Sep 2, 2013","Sep 12, 2013",12-11,Concussion,14,"Feb 2, 2012","Feb 16, 2012",,,,,
32,82105,Sadio Man??,Left Winger,fc-liverpool,20/21,Ankle Injury,152,"Jan 29, 2021","Jun 30, 2021",20/21,groin strain,23,"Dec 28, 2020","Jan 20, 2021",20/21,Back trouble,4,"Dec 14, 2020","Dec 18, 2020",20/21,Knock,16,"Oct 18, 2020","Nov 3, 2020",20/21,Thigh Problems,33,"Sep 13, 2020","Oct 16, 2020",19/20,Ankle Injury,39,"Jun 22, 2020","Jul 31, 2020",19/20,Knee Injury,84,"Oct 26, 2019","Jan 18, 2020",18/19,Collarbone fracture,31,"Dec 12, 2018","Jan 12, 2019",17/18,Hamstring Injury,92,"Mar 31, 2018","Jul 1, 2018",17/18,Muscle Injury,27,"Nov 29, 2017","Dec 26, 2017",17/18,Thigh Problems,10,"Nov 15, 2017","Nov 25, 2017",16/17,Ankle Injury,28,"Dec 11, 2016","Jan 8, 2017",16/17,Ankle Injury,9,"Nov 26, 2016","Dec 5, 2016",15/16,Lumbago,1,"Nov 4, 2015","Nov 5, 2015",14/15,Muscular problems,2,"Apr 29, 2015","May 1, 2015"
33,148455,Diogo Jota,Left Winger,fc-liverpool,20/21,Corona virus,11,"Nov 13, 2020","Nov 24, 2020",19/20,Ankle Injury,11,"Nov 11, 2019","Nov 22, 2019",19/20,Ankle problems,16,"Oct 6, 2019","Oct 22, 2019",18/19,Concussion,6,"May 5, 2019","May 11, 2019",18/19,Thigh Problems,5,"Oct 13, 2018","Oct 18, 2018",17/18,Shoulder Injury,18,"May 27, 2018","Jun 14, 2018",16/17,Ruptured ankle aigament,14,"Dec 1, 2016","Dec 15, 2016",15/16,Ruptured sideband in the ankle,28,"Nov 9, 2015","Dec 7, 2015",14/15,Thigh Problems,7,"May 25, 2015","Jun 1, 2015",13-12,Shoulder Injury,21,"Jul 5, 2012","Jul 26, 2012",,,,,,,,,,,,,,,,,,,,,,,,,
34,486604,Takumi Minamino,Left Winger,fc-liverpool,19/20,Elbow Injury,168,"Jul 16, 2019","Dec 31, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,105470,Mohamed Salah,Right Winger,fc-liverpool,20/21,Ill,4,"Feb 1, 2021","Feb 5, 2021",20/21,Hip Injury,13,"Nov 29, 2020","Dec 12, 2020",20/21,Shoulder Injury,20,"Oct 3, 2020","Oct 23, 2020",20/21,Ill,6,"Sep 21, 2020","Sep 27, 2020",19/20,Hip Injury,80,"Mar 1, 2020","May 20, 2020",19/20,Calf Injury,67,"Aug 10, 2019","Oct 16, 2019",17/18,Muscular problems,4,"May 18, 2018","May 22, 2018",14/15,Muscle Injury,15,"Jun 29, 2015","Jul 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,696324,Harry Wilson,Right Winger,fc-liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,314353,Harvey Elliott,Right Winger,fc-liverpool,20/21,Hamstring Injury,38,"Jun 3, 2021","Jul 11, 2021",20/21,Calf Injury,26,"Nov 9, 2020","Dec 5, 2020",19/20,Ill,4,"Oct 22, 2019","Oct 26, 2019",18/19,Back trouble,13,"Mar 18, 2019","Mar 31, 2019",18/19,Knee Injury,26,"Jan 13, 2019","Feb 8, 2019",18/19,Foot Injury,15,"Dec 11, 2018","Dec 26, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200512,Xherdan Shaqiri,Right Winger,fc-liverpool,20/21,Knock,7,"Jan 30, 2021","Feb 6, 2021",20/21,Corona virus,14,"Oct 2, 2020","Oct 16, 2020",19/20,Hamstring Injury,16,"Jan 26, 2020","Feb 11, 2020",19/20,Muscle Injury,21,"Jan 24, 2020","Feb 14, 2020",19/20,Thigh Muscle Strain,4,"Sep 23, 2019","Sep 27, 2019",18/19,Hand Injury,2,"Apr 11, 2019","Apr 13, 2019",18/19,Foot Injury,4,"Dec 3, 2018","Dec 7, 2018",18/19,Fractured Finger,9,"Oct 15, 2018","Oct 24, 2018",17/18,Hamstring Injury,24,"Oct 9, 2017","Nov 2, 2017",16/17,Knee Injury,87,"Apr 3, 2017","Jun 29, 2017",16/17,Shoulder Injury,7,"Aug 15, 2016","Aug 22, 2016",14/15,Calf Problems,18,"Jan 1, 2015","Jan 19, 2015",13-12,Ill,7,"Feb 21, 2013","Feb 28, 2013",,,,,,,,,,
39,340950,Sheyi Ojo,Right Winger,fc-liverpool,20/21,Foot Injury,7,"May 14, 2021","May 21, 2021",20/21,Bruised Knee,82,"Dec 9, 2020","Mar 1, 2021",20/21,Knock,3,"Nov 4, 2020","Nov 7, 2020",19/20,Calf Injury,20,"Jan 2, 2020","Jan 22, 2020",19/20,Ankle Injury,25,"Sep 23, 2019","Oct 18, 2019",18/19,Knock,9,"Feb 13, 2019","Feb 22, 2019",18/19,Knock,7,"Feb 3, 2019","Feb 10, 2019",18/19,Hamstring Injury,28,"Dec 15, 2018","Jan 12, 2019",18/19,Knock,12,"Oct 30, 2018","Nov 11, 2018",16/17,Ankle Injury,18,"Aug 18, 2016","Sep 5, 2016",15/16,Shoulder Injury,10,"May 7, 2016","May 17, 2016",,,,,,,,,,,,,,,,,,,,
40,139208,Roberto Firmino,Centre-Forward,fc-liverpool,20/21,Cruciate Ligament Rupture,255,"Oct 18, 2020","Jun 30, 2021",19/20,Ill,3,"Dec 17, 2019","Dec 20, 2019",18/19,Ankle Injury,3,"Apr 1, 2019","Apr 4, 2019",18/19,Ill,9,"Jan 20, 2019","Jan 29, 2019",18/19,Ill,6,"Jan 5, 2019","Jan 11, 2019",18/19,Fractured Rib,5,"Oct 14, 2018","Oct 19, 2018",18/19,Knock,5,"Sep 23, 2018","Sep 28, 2018",17/18,Thigh Problems,24,"Dec 22, 2017","Jan 15, 2018",16/17,Ankle Injury,136,"Jan 26, 2017","Jun 11, 2017",14/15,Knock,4,"May 14, 2015","May 18, 2015",12-11,Appendectomy,95,"Mar 29, 2012","Jul 2, 2012",,,,,,,,,,,,,,,,,,,,
41,541231,Rhian Brewster,Centre-Forward,fc-liverpool,18/19,Ill,33,"Dec 23, 2018","Jan 25, 2019",18/19,Groin Strain,3,"Oct 24, 2018","Oct 27, 2018",18/19,Groin Injury,7,"Sep 26, 2018","Oct 3, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,279455,Divock Origi,Centre-Forward,fc-liverpool,21/22,Head Injury,7,"Sep 8, 2021","Sep 15, 2021",20/21,Muscle Injury,7,"Oct 25, 2020","Nov 1, 2020",19/20,Strain,20,"Dec 5, 2019","Dec 25, 2019",18/19,Hip Injury,11,"Jan 1, 2019","Jan 12, 2019",18/19,Groin Injury,36,"Aug 11, 2018","Sep 16, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
